pert_iname	moa
setiptiline	Adrenergic receptor antagonist
simeprevir	HCV inhibitor
BRD-K73261812	Beta catenin inhibitor
pyrantel-pamoate	Nicotinic receptor agonist
etretinate	Protein synthesis inhibitor
fluticasone	Glucocorticoid receptor agonist
linagliptin	Dipeptidyl peptidase inhibitor
nevirapine	Reverse transcriptase inhibitor
carfilzomib	Proteasome inhibitor
l-bso	Glutathione transferase inhibitor
azelastine	Histamine receptor antagonist
levcromakalim	Potassium channel activator
CGP-57380	MAP kinase inhibitor
LY-215490	Glutamate receptor antagonist
SC-19220	Prostanoid receptor antagonist
ractopamine	Adrenergic receptor agonist
levocabastine	Histamine receptor antagonist
fdcyd	DNA inhibitor
talazoparib	PARP inhibitor
ZM-323881	VEGFR inhibitor
fenspiride	Bronchodilator
W-7	Calmodulin inhibitor|Potassium channel blocker
MF-101	Estrogen receptor agonist
hypoxanthine	PARP inhibitor
CITCO	CAR agonist
metrifonate	Acetylcholinesterase inhibitor
meclocycline	Bacterial 30S ribosomal subunit inhibitor
isoreserpine	Vesicular monoamine transporter inhibitor
cabergoline	Dopamine receptor agonist
inositol	Insulin sensitizer
beclomethasone-dipropionate	Immunosuppressant|Glucocorticoid receptor agonist
CEP-32496	RAF inhibitor
dronedarone	Adrenergic receptor antagonist
BRD-K15318383	Thrombin inhibitor
BML-286	WNT inhibitor
tolcapone	Catechol O methyltransferase inhibitor
L-694247	Serotonin receptor agonist
BRD-K30351863	APEX inhibitor
KB-R7943	Sodium channel inhibitor
BRD-K25079130	Nucleophosmin inhibitor
aprepitant	Tachykinin antagonist
MDM2-inhibitor	MDM inhibitor
1-benzylimidazole	Thromboxane synthase inhibitor
CA-074-Me	Cathepsin inhibitor
cyclopenthiazide	Thiazide diuretic
BRD-K11757396	Neuropeptide receptor ligand
BRD-K28296557	AKT inhibitor
cefmetazole	Bacterial cell wall synthesis inhibitor
mephenytoin	Hydantoin antiepileptic
hemado	Adenosine receptor agonist
clebopride	Dopamine receptor antagonist
APD-668	Glucose dependent insulinotropic receptor agonist
odanacatib	Cathepsin inhibitor
cephalotaxine	Protein synthesis inhibitor
mibefradil	Calcium channel blocker
perospirone	Dopamine receptor antagonist|Serotonin receptor antagonist
CO-101244	Ionotropic glutamate receptor antagonist
IU1	Ubiquitin C-terminal hydrolase inhibitor
trimebutine	Opioid receptor agonist
KN-62	Calcium channel blocker|Purinergic receptor antagonist
benzamil	Sodium channel blocker
icosapent	Platelet aggregation inhibitor
BMS-927711	Calcitonin antagonist
CGS-21680	Adenosine receptor agonist
ritanserin	Serotonin receptor antagonist
diethyltoluamide	DEET, activator of fly antenna ionotropic receptor IR40a
lenalidomide	Anti-cancer agent
vinorelbine	Tubulin inhibitor
megestrol-acetate	Progesterone receptor agonist|DNA inhibitor|Steroidal progestin
aceclofenac	Prostanoid receptor antagonist
tremorine	Acetylcholine receptor agonist
BRD-K00313977	APEX inhibitor
gingerol	Nitric oxide synthase inhibitor
mitotane	Carcinogen
trimipramine	Norepinephrine inhibitor|Tricyclic antidepressant
RG-108	DNA inhibitor
6-benzylaminopurine	Purinergic receptor activator
BRD-A61189834	XIAP inhibitor
LY-341495	Glutamate receptor antagonist
BIBU-1361	EGFR inhibitor
cyanopindolol	Adrenergic receptor antagonist
BRD-K96188950	NFKB inhibitor|HIV inhibitor
coumarin	Vitamin K antagonist
CDC	Lipoxygenase inhibitor
myriocin	Serine palmitoyltransferase inhibitor
droxidopa	Norepinephrine inhibitor
nelfinavir	HIV protease inhibitor
fluvoxamine	Selective serotonin reuptake inhibitor
pemetrexed	Dihydrofolate reductase inhibitor
XMD-1499	EPHB3 inhibitor
tipifarnib-P2	Farnesyltransferase inhibitor
tolnaftate	Fungal squalene epoxidase inhibitor
mupirocin	Isoleucyl-tRNA synthetase inhibitor
genistein	Tyrosine kinase inhibitor
dipropyl-dopamine	Dopamine receptor agonist
calcipotriol	Vitamin D receptor agonist
methazolamide	Carbonic anhydrase inhibitor
LFM-A13	BTK inhibitor
tosedostat	Peptidase inhibitor
mebendazole	Tubulin inhibitor
AT-9283	Aurora kinase inhibitor|Abl inhibitor|Bcr-Abl inhibitor|FLT3 inhibitor|JAK inhibitor|Protein kinase inhibitor|Tubulin inhibitor
quizartinib	FLT3 inhibitor
dienogest	Progesterone receptor agonist
TC-1	Beta secretase inhibitor
metoprolol	Adrenergic receptor antagonist
SC-68376	P38 MAPK inhibitor
tryptophan	Serotonin receptor agonist
BRD-K08115555	TNF inhibitor
fenretinide	Retinoid receptor agonist
TWS-119	GSK inhibitor
oncrasin-1	Apoptosis stimulant
L-NAME	Nitric oxide synthase inhibitor
L-733060	Tachykinin antagonist
BRD-A79314293	Bacterial cell wall synthesis inhibitor
metixene	Acetylcholine receptor antagonist
BU-239	Imidazoline receptor agonist
phloridzin	Sodium/glucose cotransporter inhibitor
alizapride	Dopamine receptor antagonist
EMF-BCA1-60	Caspase inhibitor
BRD-K89997465	Dopamine receptor antagonist
nomegestrol-acetate	Progesterone receptor agonist
LY-2090314	GSK inhibitor
MK-0812	CC chemokine receptor antagonist
silibinin	Cytochrome P450 inhibitor
alvocidib	CDK inhibitor
BRD-K28308851	Histamine receptor agonist
GR-235	Estrogen receptor agonist|FXR antagonist|Progesterone receptor agonist
BRD-K95676198	JAK inhibitor
methoxsalen	DNA inhibitor
geldanamycin	HSP inhibitor
tivozanib	VEGFR inhibitor
BRD-A47364545	Sigma receptor agonist
cloxacillin	Bacterial cell wall synthesis inhibitor
glafenine	DeltaF508-CFTR Correctors
valsartan	Angiotensin receptor antagonist
tizanidine	Adrenergic receptor agonist
tramadol	Opioid receptor agonist|Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor
dicoumarol	NADPH inhibitor
XL-888	HSP inhibitor
KN-93	Calcium channel blocker
danazol	Progesterone receptor agonist
BRD-K13994703	Adrenergic receptor antagonist
toltrazuril	Antiprotozoal
AMZ-30	Protein phosphatase inhibitor
BRD-K75516118	Phosphodiesterase inhibitor|Interleukin receptor antagonist
AG-14361	PARP inhibitor
BRD-A01593789	5-alpha reductase inhibitor
fingolimod	Immunosuppressant|Sphingosine 1 phosphate receptor agonist
CT-7758	Integrin inhibitor
PF-04136309	CC chemokine receptor antagonist
EI-231	Casein kinase inhibitor
SNS-314	Aurora kinase inhibitor
BRD-K55186349	Apelin receptor antagonist
eptifibatide	Platelet aggregation inhibitor
benzotript	CCK receptor antagonist
gabapentin	Calcium channel blocker
sirtinol	SIRT inhibitor
SR-95639A	Acetylcholine receptor agonist
loteprednol	Glucocorticoid receptor agonist|Phospholipase inhibitor
tolazamide	ATP channel blocker
BRD-K18059238	Cyclooxygenase inhibitor|Prostanoid receptor agonist
BRD-K84421793	Dopamine receptor agonist
proscillaridin	Na/K-ATPase inhibitor
immepip	Histamine receptor agonist
cabozantinib	RET inhibitor|VEGFR inhibitor
ZSTK-474	PI3K inhibitor
allantoxanamide	Uricase inhibitor
sunitinib	FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor|RET inhibitor|VEGFR inhibitor
BRD-A17664363	Steroidogenic factor antagonist
cerivastatin	HMGCR inhibitor
PI-103	PI3K inhibitor|MTOR inhibitor
desoxycortone	Mineralocorticoid receptor agonist
gentamicin	Bacterial 30S ribosomal subunit inhibitor
indoximod	Indoleamine 2,3-dioxygenase inhibitor
tetrahydropalmatine	Serotonin receptor agonist
R-59022	Diacylglycerol kinase inhibitor|Protein kinase inhibitor
BGT-226	PI3K inhibitor
dexamethasone	Glucocorticoid receptor agonist|Corticosteroid agonist|Cytochrome P450 inhibitor
guanaben-acetate	Adrenergic receptor agonist
eicosatrienoic-acid	Vasodilator
GSK-0660	PPAR receptor antagonist
PCI-24781	HDAC inhibitor
retinol	Retinoid receptor ligand
indolophenanthridine	Dopamine receptor agonist
diphenoxylate	Opioid receptor agonist
dexbrompheniramine	Histamine receptor antagonist
ivachtin	Caspase inhibitor
TG-100115	PI3K inhibitor
RN-1734	TRPV antagonist
CG-930	JNK inhibitor
BRD-K83354763	NFKB inhibitor
BRD-A70731303	Nucleophosmin inhibitor
BRD-K97118047	Casein kinase inhibitor
SCH-442416	Adenosine receptor antagonist
Ro-10-5824	Dopamine receptor agonist
bosentan	Endothelin receptor antagonist
UNC-2250	MER tyrosine kinase inhibitor
maraviroc	CC chemokine receptor antagonist
JTE-013	Lysophospholipid receptor antagonist
hydrastine	Tyrosine hydroxylase inhibitor
bretazenil	GABA receptor agonist
alogliptin	Dipeptidyl peptidase inhibitor
treprostinil	Prostacyclin analog
loperamide	Opioid receptor agonist
vildagliptin	Dipeptidyl peptidase inhibitor
pinacidil	Potassium channel activator
MPEP	Glutamate receptor antagonist
CV-1808	Adenosine receptor agonist
iproniazid	Monoamine oxidase inhibitor
VU-0366037-2	Glutamate receptor antagonist
irinotecan	Topoisomerase inhibitor
lenvatinib	FGFR inhibitor|KIT inhibitor|PDGFR inhibitor|VEGFR inhibitor
naltrindole	Opioid receptor antagonist
roflumilast	Phosphodiesterase inhibitor
nitrazepam	Benzodiazepine receptor agonist
maltobionic-acid	Matrix metalloprotease inhibitor|Chelating agent
pirenperone	Serotonin receptor antagonist
S-111	PARP inhibitor
BMS-754807	IGF-1 inhibitor
PIK-90	PI3K inhibitor
WAY-405	Serotonin receptor antagonist
BRD-U08759356	EGFR inhibitor
DBeQ	ATPase inhibitor
westcort	Glucocorticoid receptor agonist
phenprobamate	Muscle relaxant
tiotidine	Histamine receptor antagonist
retrorsine	Cytotoxic agent|DNA inhibitor|Mutagenic
mifepristone	Glucocorticoid receptor antagonist
gestrinone	Progesterone receptor antagonist
lypressin	Vasopressin receptor agonist
phenindione	Vitamin K antagonist
PD-0325901	MEK inhibitor|MAP kinase inhibitor|Protein kinase inhibitor
raltitrexed	Thymidylate synthase inhibitor
dextrorphan	Glutamate receptor antagonist
clobenpropit	Histamine receptor antagonist
epinephrine	Adrenergic receptor agonist|Neurotransmitter
P-5091	Ubiquitin specific protease inhibitor
tegaserod	Serotonin receptor partial agonist
kenpaullone	CDK inhibitor|GSK inhibitor
TPCA-1	IKK inhibitor
fraxidin	Carbonic anhydrase inhibitor
SB-415286	GSK inhibitor
ST-638	Tyrosine kinase inhibitor
losmapimod	P38 MAPK inhibitor
BD-1047	Adrenergic receptor antagonist
flumatinib	Bcr-Abl inhibitor
BRD-K56658166	Calcium channel blocker
argatroban	Thrombin inhibitor
strychnine-hcl	Acetylcholine receptor antagonist
TAK-875	Insulin secretagogue
domperidone	Dopamine receptor antagonist
KF-38789	P selectin inhibitor
OSI-027	MTOR inhibitor
BRD-K99667445	Topoisomerase inhibitor
umbelliferone	Cyclooxygenase inhibitor
JWE-035	Aurora kinase inhibitor
ibutilide	Potassium channel antagonist
apicidin	HDAC inhibitor
BRD-K87919739	Receptor tyrosine protein kinase inhibitor
PF-5274857	Smoothened receptor antagonist
lansoprazole	Proton pump inhibitor
syrosingopine	Vesicular monoamine transporter inhibitor
ponatinib	Bcr-Abl inhibitor|FLT3 inhibitor|PDGFR inhibitor
mometasone	Glucocorticoid receptor agonist|Immunosuppressant
homosalate	HSP inducer
pheniramine	Histamine receptor antagonist
troglitazone	PPAR receptor agonist|Insulin sensitizer
PSB-06126	NTPDase inhibitor
GR-135531	Melatonin receptor agonist
BRL-52537	Opioid receptor agonist
Ro-4987655	MEK inhibitor
NO-ASA	Cyclooxygenase inhibitor
lomerizine	Calcium channel blocker
mebeverine	Acetylcholine receptor antagonist
rebamipide	Free radical scavenger
BRD-K53532120	Opioid receptor agonist
BRD-K49668410	Bacterial 50S ribosomal subunit inhibitor
auranofin	NFKB inhibitor
MRS-1845	Calcium channel blocker
tubastatin-a	HDAC inhibitor
tacedinaline	HDAC inhibitor
U-54494A	Opioid receptor agonist
bevirimat-dimeglumine	HIV inhibitor
flutamide	Androgen receptor antagonist
BMS-509744	ITK inhibitor
BRD-A94523291	Glucocorticoid receptor agonist
curcumin	Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFKB inhibitor
KD-025	Rho associated kinase inhibitor
VX-765	Caspase inhibitor
BMS-191011	Potassium channel activator
BRD-K04877770	Farnesyltransferase inhibitor
mozavaptan	Vasopressin receptor antagonist
CGP-20712	Adrenergic receptor antagonist
sunitinib	RET tyrosine kinase inhibitor
miconazole	Bacterial cell wall synthesis inhibitor
rifapentine	Bacterial RNA polymerase inhibitor
CMPD-1	P38 MAPK inhibitor
sitagliptin	Dipeptidyl peptidase inhibitor
SB-202190	P38 MAPK inhibitor
hexestrol	Synthetic estrogen
ISOX	HDAC inhibitor
apigenin	Casein kinase inhibitor|Cell proliferation inhibitor|Cytochrome P450 inhibitor
ASC-J9	Androgen receptor agonist
PIK-75	DNA protein kinase inhibitor
tasisulam	Apoptosis stimulant
CYT-387	JAK inhibitor
GR-32191	Thromboxane receptor antagonist
pefloxacin	Bacterial DNA Gyrase inhibitor
sodium-gualenate	Antacid
ARC-239	Adrenergic receptor antagonist
ethionamide	Mycolic synthesis inhibitor
dovitinib	EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR inhibitor|VEGFR inhibitor
BRD-K19136521	CDK inhibitor|GSK inhibitor
triflupromazine	Dopamine receptor antagonist
nialamide	Monoamine oxidase inhibitor
phenacemide	Sodium channel inhibitor
GW-4064	FXR agonist
ITSA-1	HDAC activator
ENMD-2076	Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor
SCH-202676	G protein-coupled receptor modulator
BRD-K73700643	Melatonin receptor agonist
IBC-293	Hydroxycarboxylic acid receptor agonist
ceritinib	ALK inhibitor
NVP-BEZ235	MTOR inhibitor|PI3K inhibitor
PHA-767491	CDC inhibitor
grazoprevir	HCV inhibitor
ginsenoside	Steroid
oxidopamine	Neurotoxin
BRD-K43796186	EGFR inhibitor
telenzepine	Acetylcholine receptor antagonist
BRD-A04553218	Histamine receptor antagonist
octopamine	Trace amine associated receptor agonist
hexachlorophene	Potassium channel activator
chlorambucil	DNA inhibitor
prednisolone-acetate	Glucocorticoid receptor agonist
irilin-a	Isoflavone
pregnenolone-succinate	GABA receptor antagonist|Acetylcholine release enhancer|Dopamine release enhancer|Glutamate receptor modulator
BRD-K72783841	EGFR inhibitor
BRD-K14441456	EGFR inhibitor
MDL-72832	Serotonin receptor agonist
azapropazone	Cyclooxygenase inhibitor
PETCM	Caspase activator
niguldipine	Adrenergic receptor antagonist
riboflavin	Vitamin B
niguldipine	Adrenergic receptor antagonist|Calcium channel blocker
mefenamic-acid	Cyclooxygenase inhibitor
isoconazole	Fungal lanosterol demethylase inhibitor
DNQX	Glutamate receptor antagonist
ramipril	Angiotensin converting enzyme inhibitor
HDAC3-selective	HDAC inhibitor
tegafur	Thymidylate synthase inhibitor
zoxazolamine	Muscle relaxant
ellipticine	Topoisomerase inhibitor
AZD-4547	FGFR inhibitor
YM-201636	PI3K inhibitor
RG-14620	EGFR inhibitor
terconazole	Sterol demethylase inhibitor
CEP-33779	JAK inhibitor
PIK-93	PI3K inhibitor
SDZ-WAG-994	Adenosine receptor agonist
BRD-A38793261	ROR antagonist
tetryzoline	Adrenergic receptor agonist
Ro-08-2750	NGF binding inhibitor
laudanosine	Central nervous system agent
PF-05212384	MTOR inhibitor|PI3K inhibitor
ursodiol	Nuclear factor erythroid derived, like (NRF2) activator
thioctic-acid	Aldehyde dehydrogenase activator|Protein kinase activator|Reverse transcriptase inhibitor
BRD-K79511609	Adenosine receptor agonist
niacin	NADPH inhibitor|Vitamin B
solifenacin-succinate	Acetylcholine receptor antagonist
AZ-20	ATR kinase inhibitor
PF-3845	FAAH inhibitor
BRD-A18763547	Cytochrome P450 inhibitor
amyleine	Anesthetic - local
talmapimod	P38 MAPK inhibitor
gitoxigenin	Na/K-ATPase inhibitor
toremifene	Selective estrogen receptor modulator
digoxin	Na/K-ATPase inhibitor
celastrol	Anti-inflammatory|Antioxidant|HSP inhibitor|NFKB inhibitor|Topoisomerase inhibitor
fludarabine	DNA inhibitor
ETP-46464	ATR kinase inhibitor
neostigmine	Acetylcholinesterase inhibitor
alvespimycin	HSP inhibitor
linoleic-acid	Oxidizing agent
ALX-5407	Glycine transporter inhibitor
VU-0420363-1	SARS coronavirus 3C-like protease inhibitor
RKI-1447	Rho associated kinase inhibitor
icilin	TRPV agonist
avicin-d	NFKB inhibitor
JDTic	Opioid receptor antagonist
flecainide	Sodium channel inhibitor
ibandronic-acid	Bone resorption inhibitor
staurosporine	PKC inhibitor
diphenyleneiodonium	Nitric oxide synthase inhibitor
flufenamic-acid	Chloride channel blocker
flumetasone	Glucocorticoid receptor agonist
H-7	PKA inhibitor
HG-6-64-01	RAF inhibitor
lidamidine	Adrenergic receptor agonist
selamectin	Nematocide
indirubin	GSK-3 inhibitor
procyclidine	Acetylcholine receptor antagonist
cephaeline	Protein synthesis inhibitor
dolastatin-10	Tubulin inhibitor|Immunostimulant
beta-alanine	Glycine receptor agonist
BRD-K10016611	Acetylcholinesterase inhibitor
alclometasone	Glucocorticoid receptor agonist
mepenzolate	Acetylcholine receptor antagonist
GSK-690693	AKT inhibitor
navitoclax	BCL inhibitor
etofenamate	Cyclooxygenase inhibitor
alvimopan	Opioid receptor antagonist
CC-930	JNK inhibitor
dibutyrylcyclic-gmp	CGMP analog
BRD-K90976994	Bile acid
piperlongumine	Glutathione transferase inhibitor
acivicin	Gamma glutamyltransferase Inhibitors
BRD-K68336408	EGFR inhibitor
tropapride	Dopamine receptor antagonist
tosufloxacin	Bacterial DNA inhibitor
BRD-K71427192	XIAP inhibitor
kitasamycin	Protein synthesis inhibitor
SB-705498	TRPV antagonist
CEP-37440	ALK inhibitor
pralidoxime	Acetylcholinesterase inhibitor
dihydrosamidin	Nitric oxide production inhibitor|Phospholipase inhibitor|Platelet activating factor receptor antagonist
HC-toxin	HDAC inhibitor
EI-273	PKC inhibitor
tinidazole	Bacterial DNA inhibitor
BRD-K11612998	Glucocorticoid receptor agonist
regorafenib	FGFR inhibitor|KIT inhibitor|PDGFR inhibitor|RAF inhibitor|RET inhibitor|VEGFR inhibitor
glycocholic-acid	Cholesterol inhibitor
RTI-55	Dopamine receptor antagonist
amineptine	Dopamine receptor agonist
fenipentol	Choleretic agent
U-0126	MEK inhibitor
OTX-015	Bromodomain inhibitor
AEE-788	EGFR inhibitor|VEGFR inhibitor
PH-797804	P38 MAPK inhibitor
ML-179	Liver receptor homolog inverse agonist
JTC-801	Opioid receptor antagonist
fenofibrate	PPAR receptor agonist
CP-94253	Serotonin receptor agonist
cinacalcet	Calcium channel activator
SA-792709	Retinoid receptor agonist
GR-127935	Serotonin receptor antagonist
benperidol	Dopamine receptor antagonist
VX-702	P38 MAPK inhibitor
TCPOBOP	CAR agonist
pimavanserin	Serotonin receptor antagonist
PF-573228	Focal adhesion kinase inhibitor
tiratricol	Thyroid hormone stimulant
LY-2801653	MET inhibitor
thiotepa	Cytochrome P450 inhibitor
fumagillin	Methionine aminopeptidase inhibitor
mibampator	Glutamate receptor antagonist
salubrinal	Eukaryotic translation initiation factor inhibitor
nizatidine	Histamine receptor antagonist
antimycin-a	ATP synthase inhibitor
crenolanib	PDGFR inhibitor
golvatinib	VEGFR inhibitor
BRD-A49447682	Glucocorticoid receptor agonist
NVP-AUY922	HSP inhibitor
tenovins	SIRT inhibitor|p53 activator
BRD-K26664453	Tubulin inhibitor
BRD-K92073408	Progestogen hormone|Progesterone receptor agonist
ripasudil	Rho associated kinase inhibitor
XE-991	Potassium channel antagonist
A-366	Histone lysine methyltransferase inhibitor
metaraminol	Adrenergic receptor agonist
HNHA	HDAC inhibitor
iohexol	Radiopaque medium
metanephrine	Epinephrine metabolite
diflorasone	Glucocorticoid receptor agonist
cinchocaine	Sodium channel inhibitor
practolol	Adrenergic receptor antagonist
sappanone-a	Melanin inhibitor|Tyrosinase inhibitor
SD-169	P38 MAPK inhibitor
morphothebaine	Adrenergic receptor antagonist
U-46619	Thromboxane receptor agonist
baeomycesic-acid	Lipoxygenase inhibitor
BIBR-1532	Telomerase inhibitor
BMS-387032	CDK inhibitor|Cell cycle inhibitor|MCL1 inhibitor
ethaverine	Calcium channel blocker
PYM-50028	Neurotrophic agent
bromperidol	Dopamine receptor antagonist
dihydroxyphenylglycine	Glutamate receptor agonist
hydrocortisone-phosphate	Glucocorticoid receptor agonist
lobelanidine	Acetylcholine receptor antagonist|Dopamine receptor modulator|Opioid receptor antagonist|Vesicular monoamine transporter inhibitor
PD-158780	EGFR inhibitor
WAY-100635	Serotonin receptor antagonist
BIIB-021	HSP inhibitor
sarcosine	GlyT-1 inhibitor
torin-2	MTOR inhibitor
RU-24969	Serotonin receptor agonist
VU-0415374-1	Glutamate receptor antagonist
AR-A014418	GSK inhibitor
fipexide	Psychoactive drug
tiapride	Dopamine receptor antagonist
lenalidomide	Carcinogen
lobenzarit	Immunosuppressant
malotilate	Protein synthesis stimulant
salvinorin-a	Opioid receptor agonist
limonin	HIV protease inhibitor
BU-226	Imidazoline receptor agonist|Imidazoline ligand
propylpyrazole	Estrogen receptor agonist
cobicistat	Cytochrome P450 inhibitor
ARRY-334543	EGFR inhibitor
dequalinium	PKC inhibitor
L-ergothioneine	Free radical scavenger
pyrazinoylguanidine	Diuretic
CGS-20625	Benzodiazepine receptor agonist
acepromazine	Dopamine receptor antagonist
PD-98059	MEK inhibitor|MAP kinase inhibitor
icariin	Phosphodiesterase inhibitor
propantheline	Acetylcholine receptor antagonist
GS-9973	Syk inhibitor
troxipide	Glucosamine synthetase stimulant
procaine	HMGCR inhibitor
tetramisole	Immunostimulant
OMDM-2	FAAH inhibitor
WHI-P154	JAK inhibitor
paroxetine	Selective serotonin reuptake inhibitor
fluocinonide	Glucocorticoid receptor agonist
BRD-K06217810	DYRK inhibitor
JWH-015	Cannabinoid receptor agonist
PF-02545920	Phosphodiesterase inhibitor
SIB-1757	Glutamate receptor antagonist
CTPB	Histone Acetyltransferase activator
pantothenic-acid	Coenzyme A precursor
pentylenetetrazol	GABA receptor antagonist
RS-56812	Serotonin receptor agonist
BRD-K47448802	Acetylcholine receptor agonist
pentachlorophenol	ATP channel blocker
buparlisib	PI3K inhibitor
efatutazone	PPAR receptor agonist
methylstat	Histone demethylase inhibitor
triclosan	Enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor
proglumide	CCK receptor antagonist
anethole	Glutathione transferase stimulant
gliclazide	ATP channel blocker|Insulin secretagogue
osthol	Calcium channel blocker
EXO-1	ARF inhibitor
dihydrodeoxygedunin	Growth factor receptor activator
cirazoline	Adrenergic receptor agonist
quinpirole	Dopamine receptor agonist
epicatechin	Bacterial DNA inhibitor
BRD-K14236372	Lysophospholipid receptor agonist
levosulpiride	Dopamine receptor antagonist
acefylline	Adenosine receptor agonist
esomeprazole	Proton pump inhibitor
XL-147	PI3K inhibitor
bergenin	Interleukin inhibitor
GDC-0941	PI3K inhibitor
isoniazid	Bacterial cell wall synthesis inhibitor|Cyclooxygenase inhibitor
LY-225910	CCK receptor antagonist
WYE-125132	MTOR inhibitor
maxacalcitol	Vitamin D receptor agonist
m-chlorophenylbiguanide	Serotonin receptor agonist
itraconazole	Cytochrome P450 inhibitor
naringenin	Aromatase inhibitor|TRPV antagonist
climbazole	Enzyme inducer
erythromycin	NFKB pathway inhibitor
nafadotride	Dopamine receptor antagonist
carbetocin	Oxytocin receptor agonist
merbarone	Topoisomerase inhibitor
mepivacaine	Potassium channel antagonist|Sodium channel inhibitor
oxcarbazepine	Sodium channel inhibitor
farnesol	FXR agonist|Monoamine oxidase inhibitor|NFKB activator|PPAR receptor agonist
pivmecillinam	Bacterial cell wall synthesis inhibitor
SAL-1	Adenosine receptor antagonist
CP-466722	ATM kinase inhibitor
flavokavain-b	Carcinogen
bromfenac	Cyclooxygenase inhibitor
zaleplon	Benzodiazepine receptor agonist
resiquimod	TLR agonist
ellagic-acid	Glutathione transferase inhibitor|Aldose reductase inhibitor|Beta secretase inhibitor|HCV inhibitor|HIV inhibitor|Quorum sensing signaling modulator|Reverse transcriptase inhibitor
iodophenpropit	Histamine receptor antagonist
PD-102807	Acetylcholine receptor antagonist
oxantel	Anthelmintic
givinostat	HDAC inhibitor
nor-binaltorphimine	Opioid receptor antagonist
SC-560	Cyclooxygenase inhibitor
BRD-K74733595	HDAC inhibitor
pralatrexate	Dihydrofolate reductase inhibitor
L-2167	PPAR receptor agonist
oxamflatin	HDAC inhibitor
sumatriptan	Serotonin receptor agonist
azacitidine	DNA inhibitor
vincristine	Tubulin inhibitor
strychnine	Acetylcholine receptor antagonist
1-phenylbiguanide	Serotonin receptor agonist
KU-C103428N	CDC inhibitor|Rho associated kinase inhibitor
PG-9	Acetylcholine receptor agonist
amifostine	Reducing agent
CGH-2466	Adenosine receptor antagonist
oxatomide	Histamine receptor antagonist
dofetilide	Potassium channel antagonist
N-formylmethionylalanine	Macrophage activator
camostat-mesilate	Protease inhibitor|Peptidase inhibitor|Trypsin inhibitor
oltipraz	NRF2 activator
amodiaquine	Histamine receptor agonist
phenamil	TRPV antagonist
LY-2140023	Glutamate receptor agonist
CID-5458317	MAP kinase inhibitor
SU-4312	Tyrosine kinase inhibitor|PDGFR inhibitor|VEGFR inhibitor
berbamine	Calmodulin inhibitor
PD-407824	PKC inhibitor
crotamiton	Antipruritic
WAY-161503	Serotonin receptor agonist
thioproperazine	Dopamine receptor antagonist
orteronel	Androgen receptor antagonist|Cytochrome P450 inhibitor
aristolochic-acid	Phospholipase inhibitor
latrepirdine	Glutamate receptor antagonist
BMY-7378	Adrenergic receptor antagonist|Serotonin receptor antagonist
purpurogallin	Catechol O methyltransferase inhibitor
nomilin	HSP inhibitor
PHA-665752	MET inhibitor
OTS-167	Maternal embryonic leucine zipper kinase inhibitor
TW-37	BCL inhibitor
GR-89696	Opioid receptor agonist
roscovitine	CDK inhibitor
metergoline	Serotonin receptor antagonist
eriodictyol	Cytochrome P450 inhibitor
EBPC	Aldose reductase inhibitor
STO-609	Calmodulin inhibitor
caffeic-acid	HIV inhibitor|Lipoxygenase inhibitor|NFKB inhibitor|Nitric oxide production inhibitor|PPAR receptor agonist|TNF inhibitor
BRD-K93080877	Tripeptidyl peptidase inhibitor
rhodomyrtoxin-b	Carcinogen|DNA intercalating agent
AS-601245	JNK inhibitor
CCT-031374	WNT inhibitor
lestaurtinib	FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor
thalidomide	TNF inhibitor
meisoindigo	STAT inhibitor
procaterol	Adrenergic receptor agonist
bufalin	Na/K-ATPase inhibitor
clodronic-acid	Bone resorption inhibitor
chlorothiazide	Diuretic
BMY-45778	IP1 prostacyclin receptor agonist
mirin	MRE11A exonuclease inhibitor
KX-2391	Src inhibitor|Tubulin inhibitor
ticagrelor	Purinergic receptor antagonist
cyclopentolate	Acetylcholine receptor antagonist
BRD-K33396764	Omega 3 fatty acid stimulant
trimetozine	Sedative
bindarit	NFKB inhibitor
damnacanthal	Src inhibitor
lylamine	Cannabinoid receptor agonist
PSI-7976	HCV inhibitor
methyl-benzethonium	Antibiotic
azlocillin	Bacterial cell wall synthesis inhibitor
VP-20629	Beta amyloid inhibitor
ergometrine	Adrenergic receptor agonist|Serotonin receptor agonist
chlorpyrifos	Acetylcholinesterase inhibitor
BRD-K26619122	GABA receptor antagonist
BRD-K61737877	VEGFR inhibitor
torcetrapib	Cholesteryl ester transfer protein inhibitor
BRD-K36038115	Neuropeptide receptor antagonist
TAK-733	MEK inhibitor
BRD-K91781484	NRF2 activator
nelfinavir	HIV inhibitor
chrysenequinone	DNA mismatch binding
pizotifen	Serotonin receptor antagonist
chloroxine	Opioid receptor antagonist
meglumine	Excipient
lacidipine	Calcium channel blocker
nimesulide	Cyclooxygenase inhibitor
